Date,Time,MID_PRICE,BID_SIZE,BID_PRICE,ASK_PRICE,ASK_SIZE
2025-10-01,09:15:00.000,245.58,150.0,242.35,248.8,225.0
2025-10-01,09:15:01.000,245.58,150.0,242.35,248.8,225.0
2025-10-01,09:15:02.000,245.58,150.0,242.35,248.8,225.0
2025-10-01,09:15:03.000,245.58,150.0,242.35,248.8,225.0
2025-10-01,09:15:04.000,245.58,150.0,242.35,248.8,225.0
2025-10-01,09:15:05.000,241.55,375.0,240.15,242.95,225.0
2025-10-01,09:15:06.000,242.5,600.0,241.05,243.95,225.0
2025-10-01,09:15:07.000,242.5,225.0,241.05,243.95,375.0
2025-10-01,09:15:08.000,242.5,225.0,241.05,243.95,375.0
2025-10-01,09:15:09.000,241.5,600.0,240.05,242.95,600.0
2025-10-01,09:15:10.000,239.55,225.0,238.15,240.95,225.0
2025-10-01,09:15:11.000,238.6,225.0,237.25,239.95,225.0
2025-10-01,09:15:12.000,237.58,150.0,236.2,238.95,150.0
2025-10-01,09:15:13.000,236.58,225.0,235.2,237.95,225.0
2025-10-01,09:15:14.000,236.58,225.0,235.2,237.95,225.0
2025-10-01,09:15:15.000,237.55,225.0,236.15,238.95,225.0
2025-10-01,09:15:16.000,238.08,450.0,237.15,239.0,225.0
2025-10-01,09:15:17.000,238.05,375.0,237.1,239.0,225.0
2025-10-01,09:15:18.000,237.6,600.0,236.25,238.95,375.0
2025-10-01,09:15:19.000,236.65,600.0,235.45,237.85,375.0
2025-10-01,09:15:20.000,236.65,600.0,235.45,237.85,375.0
2025-10-01,09:15:21.000,237.88,225.0,236.8,238.95,225.0
2025-10-01,09:15:22.000,237.48,600.0,236.2,238.75,1050.0
2025-10-01,09:15:23.000,238.1,225.0,237.3,238.9,600.0
2025-10-01,09:15:24.000,239.15,225.0,238.05,240.25,150.0
2025-10-01,09:15:25.000,238.18,225.0,237.35,239.0,150.0
2025-10-01,09:15:26.000,238.18,225.0,237.35,239.0,150.0
2025-10-01,09:15:27.000,238.68,225.0,237.75,239.6,225.0
2025-10-01,09:15:28.000,239.1,300.0,238.25,239.95,225.0
2025-10-01,09:15:29.000,238.9,450.0,238.25,239.55,450.0
2025-10-01,09:15:30.000,238.32,225.0,237.7,238.95,225.0
2025-10-01,09:15:31.000,238.9,300.0,238.25,239.55,1125.0
2025-10-01,09:15:32.000,237.22,375.0,236.6,237.85,225.0
2025-10-01,09:15:33.000,237.22,375.0,236.6,237.85,225.0
2025-10-01,09:15:34.000,237.42,1950.0,236.9,237.95,150.0
2025-10-01,09:15:35.000,236.45,750.0,235.75,237.15,225.0
2025-10-01,09:15:36.000,235.42,150.0,234.8,236.05,225.0
2025-10-01,09:15:37.000,237.22,900.0,236.5,237.95,600.0
2025-10-01,09:15:38.000,237.22,900.0,236.5,237.95,600.0
2025-10-01,09:15:39.000,236.52,225.0,235.9,237.15,600.0
2025-10-01,09:15:40.000,235.78,450.0,235.15,236.4,225.0
2025-10-01,09:15:41.000,235.73,150.0,235.15,236.3,450.0
2025-10-01,09:15:42.000,236.02,450.0,235.45,236.6,300.0
2025-10-01,09:15:43.000,236.58,225.0,236.15,237.0,300.0
2025-10-01,09:15:44.000,236.58,225.0,236.15,237.0,300.0
2025-10-01,09:15:45.000,236.58,150.0,236.15,237.0,150.0
2025-10-01,09:15:46.000,236.48,600.0,235.95,237.0,150.0
2025-10-01,09:15:47.000,236.73,750.0,236.05,237.4,600.0
2025-10-01,09:15:48.000,236.95,450.0,236.25,237.65,1050.0
2025-10-01,09:15:49.000,237.15,600.0,236.45,237.85,1050.0
2025-10-01,09:15:50.000,237.38,525.0,236.8,237.95,300.0
2025-10-01,09:15:51.000,237.38,525.0,236.8,237.95,300.0
2025-10-01,09:15:52.000,236.88,525.0,236.1,237.65,450.0
2025-10-01,09:15:53.000,238.18,600.0,237.5,238.85,600.0
2025-10-01,09:15:54.000,237.88,450.0,237.4,238.35,675.0
2025-10-01,09:15:55.000,238.5,375.0,238.0,239.0,150.0
2025-10-01,09:15:56.000,238.52,600.0,237.9,239.15,225.0
2025-10-01,09:15:57.000,238.52,600.0,237.9,239.15,225.0
2025-10-01,09:15:58.000,238.12,600.0,237.45,238.8,225.0
2025-10-01,09:15:59.000,238.72,375.0,238.0,239.45,225.0
2025-10-01,09:16:00.000,237.85,150.0,237.15,238.55,150.0
2025-10-01,09:16:01.000,238.55,225.0,237.85,239.25,300.0
2025-10-01,09:16:02.000,238.55,225.0,237.85,239.25,300.0
2025-10-01,09:16:03.000,238.5,600.0,238.0,239.0,225.0
2025-10-01,09:16:04.000,238.22,225.0,237.6,238.85,375.0
2025-10-01,09:16:05.000,237.3,375.0,236.7,237.9,225.0
2025-10-01,09:16:06.000,236.78,150.0,236.15,237.4,150.0
2025-10-01,09:16:07.000,236.78,150.0,236.15,237.4,150.0
2025-10-01,09:16:08.000,235.88,375.0,235.15,236.6,825.0
2025-10-01,09:16:09.000,236.0,150.0,235.45,236.55,450.0
2025-10-01,09:16:10.000,236.52,225.0,236.15,236.9,75.0
2025-10-01,09:16:11.000,236.52,225.0,236.15,236.9,75.0
2025-10-01,09:16:12.000,236.27,75.0,235.85,236.7,225.0
2025-10-01,09:16:13.000,237.4,150.0,237.05,237.75,75.0
2025-10-01,09:16:14.000,236.72,150.0,236.25,237.2,600.0
2025-10-01,09:16:15.000,236.72,150.0,236.25,237.2,600.0
2025-10-01,09:16:16.000,236.28,150.0,236.0,236.55,150.0
2025-10-01,09:16:17.000,237.77,150.0,237.1,238.45,600.0
2025-10-01,09:16:18.000,238.52,225.0,238.05,239.0,225.0
2025-10-01,09:16:19.000,238.52,225.0,238.05,239.0,225.0
2025-10-01,09:16:20.000,238.9,375.0,238.25,239.55,150.0
2025-10-01,09:16:21.000,238.22,300.0,237.85,238.6,375.0
2025-10-01,09:16:22.000,237.45,150.0,237.1,237.8,225.0
2025-10-01,09:16:23.000,237.8,600.0,237.35,238.25,375.0
2025-10-01,09:16:24.000,237.8,600.0,237.35,238.25,375.0
2025-10-01,09:16:25.000,238.02,225.0,237.5,238.55,525.0
2025-10-01,09:16:26.000,237.88,150.0,237.15,238.6,300.0
2025-10-01,09:16:27.000,236.68,150.0,236.05,237.3,375.0
2025-10-01,09:16:28.000,236.45,225.0,235.85,237.05,150.0
2025-10-01,09:16:29.000,236.45,225.0,235.85,237.05,150.0
2025-10-01,09:16:30.000,237.27,450.0,236.7,237.85,225.0
2025-10-01,09:16:31.000,237.48,225.0,237.05,237.9,225.0
2025-10-01,09:16:32.000,236.55,225.0,236.0,237.1,1050.0
2025-10-01,09:16:33.000,236.78,375.0,236.25,237.3,600.0
2025-10-01,09:16:34.000,236.78,375.0,236.25,237.3,600.0
2025-10-01,09:16:35.000,237.58,225.0,237.2,237.95,225.0
2025-10-01,09:16:36.000,238.42,150.0,237.9,238.95,225.0
2025-10-01,09:16:37.000,238.68,225.0,238.05,239.3,150.0
2025-10-01,09:16:38.000,238.68,225.0,238.05,239.3,150.0
2025-10-01,09:16:39.000,239.65,525.0,239.3,240.0,2400.0
2025-10-01,09:16:40.000,239.75,1875.0,239.5,240.0,2250.0
2025-10-01,09:16:41.000,240.8,150.0,240.3,241.3,225.0
2025-10-01,09:16:42.000,240.8,150.0,240.3,241.3,225.0
2025-10-01,09:16:43.000,240.95,375.0,240.4,241.5,150.0
2025-10-01,09:16:44.000,240.15,150.0,239.65,240.65,2175.0
2025-10-01,09:16:45.000,239.45,900.0,238.95,239.95,150.0
2025-10-01,09:16:46.000,239.45,900.0,238.95,239.95,150.0
2025-10-01,09:16:47.000,239.27,375.0,238.7,239.85,150.0
2025-10-01,09:16:48.000,240.32,600.0,239.8,240.85,150.0
2025-10-01,09:16:49.000,239.58,225.0,239.1,240.05,600.0
2025-10-01,09:16:50.000,239.58,225.0,239.1,240.05,600.0
2025-10-01,09:16:51.000,239.65,150.0,239.3,240.0,75.0
2025-10-01,09:16:52.000,238.7,225.0,238.3,239.1,150.0
2025-10-01,09:16:53.000,239.2,525.0,238.7,239.7,150.0
2025-10-01,09:16:54.000,239.28,450.0,238.9,239.65,75.0
2025-10-01,09:16:55.000,239.28,450.0,238.9,239.65,75.0
2025-10-01,09:16:56.000,239.55,225.0,239.05,240.05,450.0
2025-10-01,09:16:57.000,239.75,450.0,239.3,240.2,225.0
2025-10-01,09:16:58.000,239.92,450.0,239.4,240.45,600.0
2025-10-01,09:16:59.000,239.92,450.0,239.4,240.45,600.0
2025-10-01,09:17:00.000,239.42,900.0,239.05,239.8,150.0
2025-10-01,09:17:01.000,239.32,900.0,238.9,239.75,75.0
2025-10-01,09:17:02.000,239.98,900.0,239.6,240.35,150.0
2025-10-01,09:17:03.000,239.98,900.0,239.6,240.35,150.0
2025-10-01,09:17:04.000,239.98,900.0,239.55,240.4,225.0
2025-10-01,09:17:05.000,239.92,900.0,239.45,240.4,675.0
2025-10-01,09:17:06.000,240.1,900.0,239.75,240.45,225.0
2025-10-01,09:17:07.000,240.25,900.0,240.0,240.5,975.0
2025-10-01,09:17:08.000,240.25,900.0,240.0,240.5,975.0
2025-10-01,09:17:09.000,240.32,1125.0,240.15,240.5,1050.0
2025-10-01,09:17:10.000,240.38,1275.0,240.25,240.5,75.0
