Date,Time,MID_PRICE,BID_SIZE,BID_PRICE,ASK_PRICE,ASK_SIZE
2025-10-01,09:15:00.000,201.0,75.0,200.05,201.95,375.0
2025-10-01,09:15:01.000,201.0,75.0,200.05,201.95,375.0
2025-10-01,09:15:02.000,201.0,75.0,200.05,201.95,375.0
2025-10-01,09:15:03.000,201.0,75.0,200.05,201.95,375.0
2025-10-01,09:15:04.000,201.0,75.0,200.05,201.95,375.0
2025-10-01,09:15:05.000,201.0,75.0,200.05,201.95,375.0
2025-10-01,09:15:06.000,201.0,75.0,200.05,201.95,375.0
2025-10-01,09:15:07.000,201.0,75.0,200.05,201.95,375.0
2025-10-01,09:15:08.000,201.0,75.0,200.05,201.95,375.0
2025-10-01,09:15:09.000,201.0,75.0,200.05,201.95,375.0
2025-10-01,09:15:10.000,201.0,75.0,200.05,201.95,375.0
2025-10-01,09:15:11.000,201.0,75.0,200.05,201.95,375.0
2025-10-01,09:15:12.000,201.0,75.0,200.05,201.95,375.0
2025-10-01,09:15:13.000,201.0,75.0,200.05,201.95,375.0
2025-10-01,09:15:14.000,201.0,75.0,200.05,201.95,375.0
2025-10-01,09:15:15.000,201.0,75.0,200.05,201.95,375.0
2025-10-01,09:15:16.000,202.5,150.0,201.15,203.85,900.0
2025-10-01,09:15:17.000,202.5,150.0,201.15,203.85,900.0
2025-10-01,09:15:18.000,202.0,225.0,201.05,202.95,225.0
2025-10-01,09:15:19.000,202.52,375.0,201.1,203.95,375.0
2025-10-01,09:15:20.000,201.0,225.0,200.05,201.95,375.0
2025-10-01,09:15:21.000,201.0,225.0,200.05,201.95,375.0
2025-10-01,09:15:22.000,201.58,150.0,200.2,202.95,1050.0
2025-10-01,09:15:23.000,200.7,225.0,199.45,201.95,1125.0
2025-10-01,09:15:24.000,200.7,225.0,199.45,201.95,1125.0
2025-10-01,09:15:25.000,199.58,75.0,199.05,200.1,300.0
2025-10-01,09:15:26.000,200.22,225.0,199.35,201.1,225.0
2025-10-01,09:15:27.000,198.75,825.0,197.8,199.7,450.0
2025-10-01,09:15:28.000,198.75,825.0,197.8,199.7,450.0
2025-10-01,09:15:29.000,198.12,150.0,197.55,198.7,225.0
2025-10-01,09:15:30.000,198.2,225.0,197.5,198.9,375.0
2025-10-01,09:15:31.000,197.62,825.0,197.1,198.15,450.0
2025-10-01,09:15:32.000,197.62,825.0,197.1,198.15,450.0
2025-10-01,09:15:33.000,198.28,600.0,197.4,199.15,375.0
2025-10-01,09:15:34.000,197.55,225.0,197.2,197.9,150.0
2025-10-01,09:15:35.000,198.28,975.0,197.65,198.9,1800.0
2025-10-01,09:15:36.000,198.28,975.0,197.65,198.9,1800.0
2025-10-01,09:15:37.000,197.15,225.0,196.6,197.7,150.0
2025-10-01,09:15:38.000,196.9,375.0,196.15,197.65,225.0
2025-10-01,09:15:39.000,197.3,750.0,196.8,197.8,150.0
2025-10-01,09:15:40.000,197.3,750.0,196.8,197.8,150.0
2025-10-01,09:15:41.000,197.48,225.0,197.1,197.85,375.0
2025-10-01,09:15:42.000,196.6,75.0,196.05,197.15,150.0
2025-10-01,09:15:43.000,196.18,225.0,195.6,196.75,375.0
2025-10-01,09:15:44.000,196.18,225.0,195.6,196.75,375.0
2025-10-01,09:15:45.000,196.08,225.0,195.6,196.55,450.0
2025-10-01,09:15:46.000,195.85,150.0,195.4,196.3,450.0
2025-10-01,09:15:47.000,195.92,1050.0,195.3,196.55,375.0
2025-10-01,09:15:48.000,195.72,600.0,195.2,196.25,450.0
2025-10-01,09:15:49.000,195.72,600.0,195.2,196.25,450.0
2025-10-01,09:15:50.000,194.62,450.0,194.25,195.0,225.0
2025-10-01,09:15:51.000,194.98,225.0,194.55,195.4,375.0
2025-10-01,09:15:52.000,194.88,150.0,194.45,195.3,450.0
2025-10-01,09:15:53.000,194.58,525.0,194.15,195.0,450.0
2025-10-01,09:15:54.000,194.58,525.0,194.15,195.0,450.0
2025-10-01,09:15:55.000,194.62,225.0,194.3,194.95,225.0
2025-10-01,09:15:56.000,194.12,225.0,193.5,194.75,300.0
2025-10-01,09:15:57.000,194.25,975.0,193.6,194.9,375.0
2025-10-01,09:15:58.000,194.25,975.0,193.6,194.9,375.0
2025-10-01,09:15:59.000,193.75,225.0,193.3,194.2,600.0
2025-10-01,09:16:00.000,194.65,375.0,193.35,195.95,375.0
2025-10-01,09:16:01.000,194.65,375.0,193.35,195.95,375.0
2025-10-01,09:16:02.000,192.52,450.0,192.05,193.0,150.0
2025-10-01,09:16:03.000,191.48,450.0,191.05,191.9,150.0
2025-10-01,09:16:04.000,192.5,750.0,192.0,193.0,150.0
2025-10-01,09:16:05.000,192.5,750.0,192.0,193.0,150.0
2025-10-01,09:16:06.000,193.35,150.0,192.75,193.95,375.0
2025-10-01,09:16:07.000,193.72,375.0,193.1,194.35,150.0
2025-10-01,09:16:08.000,195.35,375.0,193.65,197.05,75.0
2025-10-01,09:16:09.000,195.35,375.0,193.65,197.05,75.0
2025-10-01,09:16:10.000,194.35,900.0,193.8,194.9,150.0
2025-10-01,09:16:11.000,193.28,150.0,193.0,193.55,150.0
2025-10-01,09:16:12.000,193.7,225.0,193.35,194.05,450.0
2025-10-01,09:16:13.000,193.7,225.0,193.35,194.05,450.0
2025-10-01,09:16:14.000,193.65,225.0,193.3,194.0,450.0
2025-10-01,09:16:15.000,194.68,1050.0,193.5,195.85,1050.0
2025-10-01,09:16:16.000,193.85,600.0,193.25,194.45,600.0
2025-10-01,09:16:17.000,193.85,600.0,193.25,194.45,600.0
2025-10-01,09:16:18.000,192.25,375.0,191.65,192.85,375.0
2025-10-01,09:16:19.000,192.1,1350.0,191.45,192.75,375.0
2025-10-01,09:16:20.000,192.4,525.0,191.8,193.0,450.0
2025-10-01,09:16:21.000,192.4,525.0,191.8,193.0,450.0
2025-10-01,09:16:22.000,192.42,450.0,191.85,193.0,450.0
2025-10-01,09:16:23.000,192.95,375.0,192.05,193.85,150.0
2025-10-01,09:16:24.000,192.48,150.0,192.05,192.9,150.0
2025-10-01,09:16:25.000,192.48,150.0,192.05,192.9,150.0
2025-10-01,09:16:26.000,192.38,225.0,192.05,192.7,375.0
2025-10-01,09:16:27.000,192.58,375.0,192.05,193.1,450.0
2025-10-01,09:16:28.000,192.9,450.0,192.4,193.4,600.0
2025-10-01,09:16:29.000,192.35,150.0,191.95,192.75,600.0
2025-10-01,09:16:30.000,192.35,150.0,191.95,192.75,600.0
2025-10-01,09:16:31.000,192.1,750.0,191.55,192.65,450.0
2025-10-01,09:16:32.000,193.42,375.0,192.25,194.6,450.0
2025-10-01,09:16:33.000,192.65,450.0,192.15,193.15,150.0
2025-10-01,09:16:34.000,192.65,450.0,192.15,193.15,150.0
2025-10-01,09:16:35.000,191.58,1125.0,191.05,192.1,150.0
2025-10-01,09:16:36.000,191.3,225.0,190.95,191.65,450.0
2025-10-01,09:16:37.000,191.3,225.0,190.95,191.65,450.0
2025-10-01,09:16:38.000,191.55,375.0,190.45,192.65,900.0
2025-10-01,09:16:39.000,190.08,225.0,189.85,190.3,225.0
2025-10-01,09:16:40.000,190.1,375.0,189.85,190.35,150.0
2025-10-01,09:16:41.000,190.1,375.0,189.85,190.35,150.0
2025-10-01,09:16:42.000,189.22,75.0,189.0,189.45,150.0
2025-10-01,09:16:43.000,189.5,675.0,188.95,190.05,1875.0
2025-10-01,09:16:44.000,189.98,450.0,189.55,190.4,150.0
2025-10-01,09:16:45.000,189.98,450.0,189.55,190.4,150.0
2025-10-01,09:16:46.000,190.72,900.0,190.35,191.1,900.0
2025-10-01,09:16:47.000,189.9,375.0,189.45,190.35,975.0
2025-10-01,09:16:48.000,189.9,375.0,189.45,190.35,975.0
2025-10-01,09:16:49.000,190.15,375.0,189.8,190.5,150.0
2025-10-01,09:16:50.000,190.3,1050.0,189.9,190.7,150.0
2025-10-01,09:16:51.000,191.02,1050.0,190.55,191.5,900.0
2025-10-01,09:16:52.000,191.02,1050.0,190.55,191.5,900.0
2025-10-01,09:16:53.000,190.5,600.0,190.0,191.0,900.0
2025-10-01,09:16:54.000,190.6,600.0,190.15,191.05,900.0
2025-10-01,09:16:55.000,190.6,600.0,190.15,191.05,900.0
2025-10-01,09:16:56.000,190.27,600.0,189.95,190.6,900.0
2025-10-01,09:16:57.000,190.15,675.0,189.75,190.55,225.0
2025-10-01,09:16:58.000,190.0,300.0,189.55,190.45,300.0
2025-10-01,09:16:59.000,190.0,300.0,189.55,190.45,300.0
2025-10-01,09:17:00.000,190.02,600.0,189.55,190.5,900.0
2025-10-01,09:17:01.000,189.55,600.0,189.1,190.0,900.0
2025-10-01,09:17:02.000,189.55,600.0,189.1,190.0,900.0
2025-10-01,09:17:03.000,189.55,225.0,189.1,190.0,975.0
2025-10-01,09:17:04.000,189.28,150.0,189.05,189.5,900.0
2025-10-01,09:17:05.000,189.28,150.0,189.05,189.5,900.0
2025-10-01,09:17:06.000,189.28,150.0,189.05,189.5,900.0
2025-10-01,09:17:07.000,189.12,675.0,188.75,189.5,975.0
2025-10-01,09:17:08.000,189.02,600.0,188.65,189.4,900.0
2025-10-01,09:17:09.000,188.8,150.0,188.5,189.1,900.0
2025-10-01,09:17:10.000,188.8,150.0,188.5,189.1,900.0
2025-10-01,09:17:11.000,189.1,300.0,188.9,189.3,900.0
2025-10-01,09:17:12.000,189.28,75.0,189.0,189.55,900.0
2025-10-01,09:17:13.000,189.28,75.0,189.0,189.55,900.0
2025-10-01,09:17:14.000,188.98,75.0,188.55,189.4,975.0
2025-10-01,09:17:15.000,189.75,375.0,189.5,190.0,900.0
2025-10-01,09:17:16.000,189.88,750.0,189.6,190.15,975.0
2025-10-01,09:17:17.000,189.88,750.0,189.6,190.15,975.0
2025-10-01,09:17:18.000,191.3,600.0,190.1,192.5,600.0
2025-10-01,09:17:19.000,190.62,150.0,190.3,190.95,900.0
2025-10-01,09:17:20.000,191.1,600.0,190.75,191.45,975.0
2025-10-01,09:17:21.000,191.1,600.0,190.75,191.45,975.0
2025-10-01,09:17:22.000,190.38,225.0,190.05,190.7,975.0
2025-10-01,09:17:23.000,192.15,600.0,191.75,192.55,900.0
2025-10-01,09:17:24.000,192.15,600.0,191.75,192.55,900.0
2025-10-01,09:17:25.000,193.35,375.0,192.95,193.75,900.0
2025-10-01,09:17:26.000,192.75,150.0,192.55,192.95,75.0
2025-10-01,09:17:27.000,192.75,150.0,192.55,192.95,75.0
2025-10-01,09:17:28.000,193.75,375.0,193.3,194.2,975.0
2025-10-01,09:17:29.000,193.77,375.0,193.35,194.2,900.0
2025-10-01,09:17:30.000,194.48,150.0,194.1,194.85,900.0
2025-10-01,09:17:31.000,194.48,150.0,194.1,194.85,900.0
2025-10-01,09:17:32.000,194.62,450.0,194.2,195.05,975.0
2025-10-01,09:17:33.000,194.5,225.0,194.1,194.9,900.0
2025-10-01,09:17:34.000,194.22,150.0,193.85,194.6,975.0
2025-10-01,09:17:35.000,194.22,150.0,193.85,194.6,975.0
2025-10-01,09:17:36.000,193.95,75.0,193.4,194.5,900.0
2025-10-01,09:17:37.000,194.3,525.0,193.8,194.8,900.0
2025-10-01,09:17:38.000,194.3,525.0,193.8,194.8,900.0
2025-10-01,09:17:39.000,195.38,225.0,194.9,195.85,900.0
2025-10-01,09:17:40.000,195.32,600.0,194.8,195.85,975.0
2025-10-01,09:17:41.000,195.32,600.0,194.8,195.85,975.0
2025-10-01,09:17:42.000,195.77,225.0,195.35,196.2,900.0
2025-10-01,09:17:43.000,195.7,375.0,195.2,196.2,900.0
2025-10-01,09:17:44.000,195.42,450.0,194.95,195.9,975.0
2025-10-01,09:17:45.000,195.42,450.0,194.95,195.9,975.0
2025-10-01,09:17:46.000,195.32,225.0,194.9,195.75,900.0
2025-10-01,09:17:47.000,194.52,150.0,194.05,195.0,75.0
2025-10-01,09:17:48.000,193.45,375.0,193.05,193.85,900.0
2025-10-01,09:17:49.000,193.45,375.0,193.05,193.85,900.0
2025-10-01,09:17:50.000,193.72,150.0,193.35,194.1,900.0
2025-10-01,09:17:51.000,193.5,225.0,193.15,193.85,900.0
2025-10-01,09:17:52.000,194.55,150.0,194.05,195.05,900.0
2025-10-01,09:17:53.000,194.55,150.0,194.05,195.05,900.0
2025-10-01,09:17:54.000,195.18,300.0,194.7,195.65,900.0
2025-10-01,09:17:55.000,195.7,375.0,195.3,196.1,900.0
2025-10-01,09:17:56.000,195.7,375.0,195.3,196.1,900.0
2025-10-01,09:17:57.000,195.18,225.0,194.8,195.55,900.0
2025-10-01,09:17:58.000,196.05,2550.0,195.6,196.5,900.0
2025-10-01,09:17:59.000,196.9,225.0,196.55,197.25,900.0
2025-10-01,09:18:00.000,196.9,225.0,196.55,197.25,900.0
2025-10-01,09:18:01.000,197.42,300.0,196.95,197.9,150.0
2025-10-01,09:18:02.000,197.32,150.0,196.8,197.85,150.0
2025-10-01,09:18:03.000,197.32,150.0,196.8,197.85,150.0
2025-10-01,09:18:04.000,195.1,150.0,194.6,195.6,375.0
2025-10-01,09:18:05.000,195.27,225.0,194.6,195.95,150.0
2025-10-01,09:18:06.000,195.27,225.0,194.6,195.95,150.0
2025-10-01,09:18:07.000,195.75,225.0,195.35,196.15,300.0
2025-10-01,09:18:08.000,195.25,750.0,194.7,195.8,150.0
2025-10-01,09:18:09.000,195.25,750.0,194.7,195.8,150.0
2025-10-01,09:18:10.000,195.12,150.0,194.75,195.5,150.0
2025-10-01,09:18:11.000,195.05,375.0,194.6,195.5,150.0
2025-10-01,09:18:12.000,195.98,150.0,195.15,196.8,150.0
2025-10-01,09:18:13.000,195.98,150.0,195.15,196.8,150.0
2025-10-01,09:18:14.000,195.5,225.0,195.0,196.0,150.0
2025-10-01,09:18:15.000,195.48,150.0,195.0,195.95,150.0
2025-10-01,09:18:16.000,195.85,300.0,195.35,196.35,150.0
2025-10-01,09:18:17.000,195.85,300.0,195.35,196.35,150.0
2025-10-01,09:18:18.000,195.88,225.0,195.4,196.35,150.0
2025-10-01,09:18:19.000,196.1,225.0,195.65,196.55,150.0
2025-10-01,09:18:20.000,196.1,225.0,195.65,196.55,150.0
2025-10-01,09:18:21.000,195.28,150.0,195.05,195.5,75.0
2025-10-01,09:18:22.000,194.85,225.0,194.35,195.35,150.0
2025-10-01,09:18:23.000,194.9,225.0,194.5,195.3,150.0
2025-10-01,09:18:24.000,194.9,225.0,194.5,195.3,150.0
2025-10-01,09:18:25.000,194.5,225.0,194.1,194.9,150.0
2025-10-01,09:18:26.000,195.45,450.0,194.95,195.95,150.0
2025-10-01,09:18:27.000,195.45,450.0,194.95,195.95,150.0
2025-10-01,09:18:28.000,194.88,600.0,194.2,195.55,75.0
2025-10-01,09:18:29.000,193.95,225.0,193.5,194.4,150.0
2025-10-01,09:18:30.000,194.0,600.0,193.6,194.4,150.0
2025-10-01,09:18:31.000,194.0,600.0,193.6,194.4,150.0
2025-10-01,09:18:32.000,194.0,225.0,193.7,194.3,150.0
2025-10-01,09:18:33.000,193.08,225.0,192.6,193.55,150.0
2025-10-01,09:18:34.000,193.08,225.0,192.6,193.55,150.0
2025-10-01,09:18:35.000,193.9,675.0,193.45,194.35,150.0
2025-10-01,09:18:36.000,193.8,150.0,193.5,194.1,150.0
2025-10-01,09:18:37.000,193.6,150.0,193.15,194.05,150.0
2025-10-01,09:18:38.000,193.6,150.0,193.15,194.05,150.0
2025-10-01,09:18:39.000,194.42,75.0,194.1,194.75,150.0
2025-10-01,09:18:40.000,194.08,225.0,193.7,194.45,150.0
2025-10-01,09:18:41.000,194.08,225.0,193.7,194.45,150.0
2025-10-01,09:18:42.000,194.85,75.0,194.55,195.15,150.0
2025-10-01,09:18:43.000,194.8,525.0,194.4,195.2,150.0
2025-10-01,09:18:44.000,194.9,150.0,194.5,195.3,150.0
2025-10-01,09:18:45.000,194.9,150.0,194.5,195.3,150.0
2025-10-01,09:18:46.000,194.4,150.0,194.05,194.75,150.0
2025-10-01,09:18:47.000,194.4,150.0,194.05,194.75,150.0
2025-10-01,09:18:48.000,193.55,150.0,193.2,193.9,150.0
2025-10-01,09:18:49.000,194.12,450.0,193.75,194.5,150.0
2025-10-01,09:18:50.000,194.12,450.0,193.75,194.5,150.0
2025-10-01,09:18:51.000,193.98,750.0,193.55,194.4,150.0
2025-10-01,09:18:52.000,193.98,750.0,193.55,194.4,150.0
2025-10-01,09:18:53.000,194.2,75.0,194.0,194.4,150.0
2025-10-01,09:18:54.000,193.1,600.0,192.65,193.55,150.0
2025-10-01,09:18:55.000,193.1,600.0,192.65,193.55,150.0
2025-10-01,09:18:56.000,193.42,450.0,193.05,193.8,150.0
2025-10-01,09:18:57.000,193.42,450.0,193.05,193.8,150.0
2025-10-01,09:18:58.000,193.25,75.0,192.95,193.55,150.0
2025-10-01,09:18:59.000,192.68,450.0,192.15,193.2,150.0
2025-10-01,09:19:00.000,192.68,450.0,192.15,193.2,150.0
2025-10-01,09:19:01.000,191.8,150.0,191.4,192.2,150.0
2025-10-01,09:19:02.000,191.8,150.0,191.4,192.2,150.0
2025-10-01,09:19:03.000,192.23,150.0,191.9,192.55,225.0
2025-10-01,09:19:04.000,192.45,375.0,192.05,192.85,150.0
2025-10-01,09:19:05.000,192.45,375.0,192.05,192.85,150.0
2025-10-01,09:19:06.000,191.6,150.0,191.35,191.85,225.0
2025-10-01,09:19:07.000,191.6,150.0,191.35,191.85,225.0
2025-10-01,09:19:08.000,192.42,225.0,192.05,192.8,150.0
2025-10-01,09:19:09.000,192.65,675.0,192.1,193.2,150.0
2025-10-01,09:19:10.000,192.65,675.0,192.1,193.2,150.0
2025-10-01,09:19:11.000,191.88,225.0,191.35,192.4,225.0
2025-10-01,09:19:12.000,191.88,225.0,191.35,192.4,225.0
2025-10-01,09:19:13.000,191.48,225.0,191.1,191.85,150.0
2025-10-01,09:19:14.000,191.48,150.0,191.15,191.8,150.0
2025-10-01,09:19:15.000,191.48,150.0,191.15,191.8,150.0
2025-10-01,09:19:16.000,191.5,225.0,191.15,191.85,375.0
2025-10-01,09:19:17.000,191.5,225.0,191.15,191.85,375.0
