datetime,timestamp,open,high,low,close,volume
2024-12-02 09:20:00+05:30,1733111100,144.11,144.3,143.14,143.78,1111378
2024-12-02 09:25:00+05:30,1733111400,143.78,144.19,143.62,144.04,874075
2024-12-02 09:30:00+05:30,1733111700,144.05,144.33,143.9,144.33,600000
2024-12-02 09:35:00+05:30,1733112000,144.33,144.67,144.22,144.54,511827
2024-12-02 09:40:00+05:30,1733112300,144.55,145.0,144.5,144.99,423346
2024-12-02 09:45:00+05:30,1733112600,144.98,145.0,144.7,144.85,317500
2024-12-02 09:50:00+05:30,1733112900,144.93,145.15,144.83,144.96,403833
2024-12-02 09:55:00+05:30,1733113200,144.94,144.96,144.7,144.86,307245
2024-12-02 10:00:00+05:30,1733113500,144.88,145.09,144.84,145.0,257052
2024-12-02 10:05:00+05:30,1733113800,145.0,145.4,144.93,145.28,459651
2024-12-02 10:10:00+05:30,1733114100,145.28,145.45,145.03,145.07,407792
2024-12-02 10:15:00+05:30,1733114400,145.07,145.1,144.76,145.08,360774
2024-12-02 10:20:00+05:30,1733114700,145.08,145.3,145.06,145.2,233863
2024-12-02 10:25:00+05:30,1733115000,145.2,145.2,145.01,145.15,131337
2024-12-02 10:30:00+05:30,1733115300,145.15,145.15,144.94,145.05,114621
2024-12-02 10:35:00+05:30,1733115600,145.03,145.09,144.9,145.05,119202
2024-12-02 10:40:00+05:30,1733115900,145.0,145.05,144.7,144.87,409513
2024-12-02 10:45:00+05:30,1733116200,144.88,145.25,144.82,145.19,351062
2024-12-02 10:50:00+05:30,1733116500,145.19,145.19,144.91,144.98,128906
2024-12-02 10:55:00+05:30,1733116800,145.0,145.16,144.9,144.97,152679
2024-12-02 11:00:00+05:30,1733117100,144.97,144.99,144.86,144.88,118031
2024-12-02 11:05:00+05:30,1733117400,144.91,145.0,144.73,144.81,315830
2024-12-02 11:10:00+05:30,1733117700,144.85,144.99,144.7,144.91,385779
2024-12-02 11:15:00+05:30,1733118000,144.91,144.91,144.8,144.88,86832
2024-12-02 11:20:00+05:30,1733118300,144.85,145.04,144.8,145.02,157910
2024-12-02 11:25:00+05:30,1733118600,145.02,145.02,144.8,144.88,173932
2024-12-02 11:30:00+05:30,1733118900,144.88,144.95,144.8,144.94,108161
2024-12-02 11:35:00+05:30,1733119200,144.94,145.04,144.88,144.93,151869
2024-12-02 11:40:00+05:30,1733119500,144.9,144.99,144.82,144.97,126719
2024-12-02 11:45:00+05:30,1733119800,144.93,145.21,144.92,145.18,261033
2024-12-02 11:50:00+05:30,1733120100,145.18,145.18,144.85,144.95,141172
2024-12-02 11:55:00+05:30,1733120400,144.94,144.95,144.85,144.88,88302
2024-12-02 12:00:00+05:30,1733120700,144.9,145.06,144.84,145.0,122848
2024-12-02 12:05:00+05:30,1733121000,145.02,145.4,145.02,145.38,848131
2024-12-02 12:10:00+05:30,1733121300,145.35,145.5,145.12,145.5,881431
2024-12-02 12:15:00+05:30,1733121600,145.48,145.5,145.08,145.1,413482
2024-12-02 12:20:00+05:30,1733121900,145.1,145.15,145.05,145.15,105260
2024-12-02 12:25:00+05:30,1733122200,145.14,145.2,145.05,145.18,126918
2024-12-02 12:30:00+05:30,1733122500,145.18,145.39,145.12,145.3,425355
2024-12-02 12:35:00+05:30,1733122800,145.35,145.35,145.1,145.12,195269
2024-12-02 12:40:00+05:30,1733123100,145.18,145.22,145.11,145.14,99271
2024-12-02 12:45:00+05:30,1733123400,145.14,145.17,145.0,145.07,146718
2024-12-02 12:50:00+05:30,1733123700,145.04,145.13,144.92,145.11,186764
2024-12-02 12:55:00+05:30,1733124000,145.1,145.1,144.91,145.04,120148
2024-12-02 13:00:00+05:30,1733124300,145.04,145.1,144.98,145.1,84006
2024-12-02 13:05:00+05:30,1733124600,145.05,145.09,144.95,145.05,146039
2024-12-02 13:10:00+05:30,1733124900,145.09,145.25,145.0,145.13,125387
2024-12-02 13:15:00+05:30,1733125200,145.12,145.2,145.06,145.17,131629
2024-12-02 13:20:00+05:30,1733125500,145.17,145.2,145.05,145.07,126107
2024-12-02 13:25:00+05:30,1733125800,145.11,145.13,145.0,145.08,98227
2024-12-02 13:30:00+05:30,1733126100,145.05,145.1,145.0,145.08,151952
2024-12-02 13:35:00+05:30,1733126400,145.07,145.19,145.02,145.16,256564
2024-12-02 13:40:00+05:30,1733126700,145.11,145.28,145.1,145.28,218669
2024-12-02 13:45:00+05:30,1733127000,145.27,145.35,145.22,145.25,239453
2024-12-02 13:50:00+05:30,1733127300,145.28,145.33,145.15,145.2,178726
2024-12-02 13:55:00+05:30,1733127600,145.16,145.19,145.03,145.13,117328
2024-12-02 14:00:00+05:30,1733127900,145.1,145.32,145.07,145.3,172989
2024-12-02 14:05:00+05:30,1733128200,145.23,145.49,145.23,145.45,352120
2024-12-02 14:10:00+05:30,1733128500,145.45,145.5,145.37,145.42,315146
2024-12-02 14:15:00+05:30,1733128800,145.45,145.6,145.38,145.59,357827
2024-12-02 14:20:00+05:30,1733129100,145.53,145.7,145.51,145.6,335283
2024-12-02 14:25:00+05:30,1733129400,145.61,145.65,145.49,145.52,245467
2024-12-02 14:30:00+05:30,1733129700,145.52,145.56,145.5,145.55,134225
2024-12-02 14:35:00+05:30,1733130000,145.53,145.7,145.53,145.66,252861
2024-12-02 14:40:00+05:30,1733130300,145.61,145.95,145.59,145.95,630434
2024-12-02 14:45:00+05:30,1733130600,145.95,146.1,145.89,146.0,677691
2024-12-02 14:50:00+05:30,1733130900,146.04,146.06,145.89,146.04,404086
2024-12-02 14:55:00+05:30,1733131200,146.02,146.06,145.9,145.97,260081
2024-12-02 15:00:00+05:30,1733131500,145.97,146.03,145.91,146.0,210999
2024-12-02 15:05:00+05:30,1733131800,145.99,146.13,145.94,146.11,641761
2024-12-02 15:10:00+05:30,1733132100,146.11,146.23,146.08,146.19,408395
2024-12-02 15:15:00+05:30,1733132400,146.23,146.45,146.19,146.45,533648
2024-12-02 15:20:00+05:30,1733132700,146.44,146.83,146.43,146.52,1368301
2024-12-02 15:25:00+05:30,1733133000,146.5,146.64,146.26,146.44,748525
2024-12-02 15:30:00+05:30,1733133300,146.45,146.5,146.33,146.36,431347
2024-12-03 09:20:00+05:30,1733197500,146.75,148.2,146.6,147.75,2093523
2024-12-03 09:25:00+05:30,1733197800,147.74,147.79,146.93,147.04,947792
2024-12-03 09:30:00+05:30,1733198100,147.05,147.6,147.0,147.3,710542
2024-12-03 09:35:00+05:30,1733198400,147.28,147.4,147.15,147.27,911543
