datetime,timestamp,open,high,low,close,volume
2024-12-02 09:20:00+05:30,1733111100,291.23,292.0,289.1,290.25,1082312
2024-12-02 09:25:00+05:30,1733111400,290.15,291.38,290.15,290.95,678776
2024-12-02 09:30:00+05:30,1733111700,290.95,291.0,290.13,290.38,305038
2024-12-02 09:35:00+05:30,1733112000,290.23,290.7,290.0,290.58,255566
2024-12-02 09:40:00+05:30,1733112300,290.6,291.45,290.25,291.0,309834
2024-12-02 09:45:00+05:30,1733112600,290.98,291.45,290.9,291.38,213768
2024-12-02 09:50:00+05:30,1733112900,291.43,292.18,291.33,291.58,346714
2024-12-02 09:55:00+05:30,1733113200,291.55,291.77,291.18,291.33,143170
2024-12-02 10:00:00+05:30,1733113500,291.18,291.5,290.68,290.68,136494
2024-12-02 10:05:00+05:30,1733113800,290.7,290.8,290.1,290.3,165256
2024-12-02 10:10:00+05:30,1733114100,290.3,290.55,289.6,289.68,288146
2024-12-02 10:15:00+05:30,1733114400,289.75,289.83,289.25,289.73,213774
2024-12-02 10:20:00+05:30,1733114700,289.77,290.55,289.75,290.18,213992
2024-12-02 10:25:00+05:30,1733115000,290.27,290.48,290.0,290.1,116580
2024-12-02 10:30:00+05:30,1733115300,290.13,290.3,289.83,290.25,83716
2024-12-02 10:35:00+05:30,1733115600,290.25,290.27,289.8,290.05,95184
2024-12-02 10:40:00+05:30,1733115900,290.05,290.3,289.73,290.27,132016
2024-12-02 10:45:00+05:30,1733116200,290.33,290.5,289.88,290.38,96082
2024-12-02 10:50:00+05:30,1733116500,290.38,290.4,290.0,290.1,77684
2024-12-02 10:55:00+05:30,1733116800,290.1,290.33,289.75,289.9,94496
2024-12-02 11:00:00+05:30,1733117100,289.9,290.33,289.83,290.13,54960
2024-12-02 11:05:00+05:30,1733117400,290.13,290.3,290.0,290.25,53664
2024-12-02 11:10:00+05:30,1733117700,290.23,290.3,289.95,290.02,71696
2024-12-02 11:15:00+05:30,1733118000,290.02,290.2,289.93,290.08,77304
2024-12-02 11:20:00+05:30,1733118300,290.08,290.3,290.08,290.25,78354
2024-12-02 11:25:00+05:30,1733118600,290.25,290.45,290.08,290.3,65052
2024-12-02 11:30:00+05:30,1733118900,290.3,290.38,289.95,290.13,78296
2024-12-02 11:35:00+05:30,1733119200,290.05,290.25,290.0,290.2,50844
2024-12-02 11:40:00+05:30,1733119500,290.2,290.33,289.95,290.25,61714
2024-12-02 11:45:00+05:30,1733119800,290.2,290.43,290.13,290.43,52256
2024-12-02 11:50:00+05:30,1733120100,290.43,290.5,290.0,290.18,76900
