datetime,timestamp,open,high,low,close,volume
2025-07-01 09:20:00+05:30,1751341500,814.3,816.0,812.0,812.5,61551
2025-07-01 09:25:00+05:30,1751341800,812.5,814.95,812.5,814.4,24214
2025-07-01 09:30:00+05:30,1751342100,814.4,816.15,814.2,814.65,31095
2025-07-01 09:35:00+05:30,1751342400,815.0,815.1,813.35,814.55,21318
2025-07-01 09:40:00+05:30,1751342700,814.6,817.5,814.6,817.15,47448
2025-07-01 09:45:00+05:30,1751343000,817.1,817.15,814.8,815.0,98061
2025-07-01 09:50:00+05:30,1751343300,815.0,818.9,815.0,818.4,65922
2025-07-01 09:55:00+05:30,1751343600,818.4,818.65,815.1,815.95,183685
2025-07-01 10:00:00+05:30,1751343900,815.95,816.9,815.5,816.3,92671
2025-07-01 10:05:00+05:30,1751344200,816.6,816.95,815.5,816.15,132288
2025-07-01 10:10:00+05:30,1751344500,816.15,816.75,814.3,815.85,103664
2025-07-01 10:15:00+05:30,1751344800,815.75,816.0,811.6,812.0,202853
2025-07-01 10:20:00+05:30,1751345100,811.55,811.75,808.95,810.0,180238
2025-07-01 10:25:00+05:30,1751345400,810.8,810.8,809.65,810.1,24934
2025-07-01 10:30:00+05:30,1751345700,810.0,810.45,809.65,809.9,12927
2025-07-01 10:35:00+05:30,1751346000,809.9,810.15,809.35,810.0,49864
2025-07-01 10:40:00+05:30,1751346300,810.0,810.75,810.0,810.2,10319
2025-07-01 10:45:00+05:30,1751346600,810.0,811.0,810.0,810.05,9155
2025-07-01 10:50:00+05:30,1751346900,810.2,810.3,808.7,809.25,12640
2025-07-01 10:55:00+05:30,1751347200,809.25,810.0,808.25,809.9,16556
2025-07-01 11:00:00+05:30,1751347500,809.9,810.0,808.85,809.2,14559
2025-07-01 11:05:00+05:30,1751347800,809.3,809.6,808.05,808.25,12816
2025-07-01 11:10:00+05:30,1751348100,808.45,809.3,808.25,808.8,14260
2025-07-01 11:15:00+05:30,1751348400,808.9,809.8,808.8,809.5,6153
2025-07-01 11:20:00+05:30,1751348700,809.5,809.5,808.15,808.35,9751
2025-07-01 11:25:00+05:30,1751349000,808.35,809.15,807.55,808.55,18870
2025-07-01 11:30:00+05:30,1751349300,808.8,810.15,808.8,809.95,8404
2025-07-01 11:35:00+05:30,1751349600,810.0,810.15,808.3,808.3,11267
2025-07-01 11:40:00+05:30,1751349900,808.3,808.45,808.0,808.0,8014
2025-07-01 11:45:00+05:30,1751350200,807.95,808.05,806.5,807.05,31888
2025-07-01 11:50:00+05:30,1751350500,807.05,807.15,806.05,806.1,6896
2025-07-01 11:55:00+05:30,1751350800,806.05,807.35,806.05,807.25,16868
2025-07-01 12:00:00+05:30,1751351100,807.3,807.85,807.0,807.3,34492
2025-07-01 12:05:00+05:30,1751351400,807.7,808.0,807.15,807.95,40483
2025-07-01 12:10:00+05:30,1751351700,807.95,808.85,807.95,808.0,34456
2025-07-01 12:15:00+05:30,1751352000,808.35,808.5,808.0,808.4,6399
2025-07-01 12:20:00+05:30,1751352300,808.4,808.4,808.0,808.3,10619
2025-07-01 12:25:00+05:30,1751352600,808.3,809.1,808.15,808.8,73212
2025-07-01 12:30:00+05:30,1751352900,809.1,809.1,807.9,808.0,28432
2025-07-01 12:35:00+05:30,1751353200,807.9,808.2,807.45,808.15,27120
2025-07-01 12:40:00+05:30,1751353500,808.15,808.75,808.0,808.1,7110
2025-07-01 12:45:00+05:30,1751353800,808.05,808.5,808.0,808.05,5299
2025-07-01 12:50:00+05:30,1751354100,808.05,808.25,806.8,807.15,16573
2025-07-01 12:55:00+05:30,1751354400,807.1,807.9,807.0,807.45,16185
2025-07-01 13:00:00+05:30,1751354700,807.35,807.65,807.05,807.3,14770
2025-07-01 13:05:00+05:30,1751355000,807.3,808.55,807.3,808.55,11954
2025-07-01 13:10:00+05:30,1751355300,808.5,808.9,807.7,808.65,8248
2025-07-01 13:15:00+05:30,1751355600,808.65,809.95,808.65,809.8,10587
2025-07-01 13:20:00+05:30,1751355900,809.9,810.15,809.25,809.5,16249
2025-07-01 13:25:00+05:30,1751356200,809.55,810.05,809.45,809.65,11298
2025-07-01 13:30:00+05:30,1751356500,809.65,809.8,809.2,809.45,3085
2025-07-01 13:35:00+05:30,1751356800,809.45,809.6,808.05,808.3,9742
2025-07-01 13:40:00+05:30,1751357100,808.3,808.65,808.1,808.1,4315
2025-07-01 13:45:00+05:30,1751357400,808.1,808.35,807.75,807.95,8020
2025-07-01 13:50:00+05:30,1751357700,807.8,808.2,807.35,807.9,15519
2025-07-01 13:55:00+05:30,1751358000,807.95,808.2,807.0,807.5,34721
2025-07-01 14:00:00+05:30,1751358300,807.3,808.95,807.3,808.65,39204
