datetime,timestamp,open,high,low,close,volume
2025-08-01 09:20:00+05:30,1754019900,246.5,246.9,245.33,246.15,352407
2025-08-01 09:25:00+05:30,1754020200,246.09,246.39,245.85,246.03,83036
2025-08-01 09:30:00+05:30,1754020500,246.09,246.14,245.52,245.69,90734
2025-08-01 09:35:00+05:30,1754020800,245.6,245.87,245.27,245.75,123822
2025-08-01 09:40:00+05:30,1754021100,245.75,245.95,245.06,245.2,111270
2025-08-01 09:45:00+05:30,1754021400,245.1,245.73,245.1,245.35,79372
2025-08-01 09:50:00+05:30,1754021700,245.39,245.39,245.0,245.18,122712
2025-08-01 09:55:00+05:30,1754022000,245.18,245.43,245.03,245.09,61503
2025-08-01 10:00:00+05:30,1754022300,245.15,245.25,245.0,245.15,86962
2025-08-01 10:05:00+05:30,1754022600,245.16,245.45,245.01,245.37,45634
2025-08-01 10:10:00+05:30,1754022900,245.41,245.44,244.75,244.9,126046
2025-08-01 10:15:00+05:30,1754023200,244.93,245.07,244.85,245.0,37609
2025-08-01 10:20:00+05:30,1754023500,245.0,245.14,244.82,245.13,45772
2025-08-01 10:25:00+05:30,1754023800,245.15,245.35,245.06,245.17,53285
2025-08-01 10:30:00+05:30,1754024100,245.17,245.38,244.99,245.08,41035
2025-08-01 10:35:00+05:30,1754024400,245.08,245.39,245.0,245.26,52011
2025-08-01 10:40:00+05:30,1754024700,245.25,245.36,244.6,244.65,79830
2025-08-01 10:45:00+05:30,1754025000,244.72,244.81,244.25,244.58,88145
2025-08-01 10:50:00+05:30,1754025300,244.58,244.69,244.17,244.29,80448
2025-08-01 10:55:00+05:30,1754025600,244.28,244.29,244.1,244.14,42044
2025-08-01 11:00:00+05:30,1754025900,244.14,244.39,244.0,244.39,58642
2025-08-01 11:05:00+05:30,1754026200,244.39,244.71,244.29,244.55,81152
2025-08-01 11:10:00+05:30,1754026500,244.56,244.56,243.84,243.96,114220
2025-08-01 11:15:00+05:30,1754026800,244.0,244.29,243.87,243.94,65444
2025-08-01 11:20:00+05:30,1754027100,243.97,244.4,243.8,244.03,78210
2025-08-01 11:25:00+05:30,1754027400,244.03,244.22,243.9,243.96,38263
2025-08-01 11:30:00+05:30,1754027700,244.08,244.18,243.7,243.78,59239
2025-08-01 11:35:00+05:30,1754028000,243.87,243.87,243.58,243.72,61466
2025-08-01 11:40:00+05:30,1754028300,243.75,243.9,243.68,243.85,73922
2025-08-01 11:45:00+05:30,1754028600,243.85,243.85,243.42,243.47,95441
2025-08-01 11:50:00+05:30,1754028900,243.49,243.67,243.36,243.6,75412
2025-08-01 11:55:00+05:30,1754029200,243.6,244.09,243.6,243.95,121524
2025-08-01 12:00:00+05:30,1754029500,243.95,244.22,243.75,244.0,91816
2025-08-01 12:05:00+05:30,1754029800,244.0,244.2,243.81,244.0,64162
2025-08-01 12:10:00+05:30,1754030100,244.0,244.35,243.96,244.13,59114
2025-08-01 12:15:00+05:30,1754030400,244.2,244.2,244.07,244.15,53233
2025-08-01 12:20:00+05:30,1754030700,244.14,244.14,244.0,244.09,49603
2025-08-01 12:25:00+05:30,1754031000,244.1,244.34,243.74,243.94,86201
2025-08-01 12:30:00+05:30,1754031300,243.94,243.94,243.5,243.6,85682
2025-08-01 12:35:00+05:30,1754031600,243.56,243.65,243.15,243.25,107626
2025-08-01 12:40:00+05:30,1754031900,243.17,243.25,242.68,242.8,161943
2025-08-01 12:45:00+05:30,1754032200,242.8,242.91,242.22,242.5,138416
2025-08-01 12:50:00+05:30,1754032500,242.55,242.78,242.4,242.6,65780
2025-08-01 12:55:00+05:30,1754032800,242.6,242.86,242.31,242.8,45120
2025-08-01 13:00:00+05:30,1754033100,242.83,242.99,242.7,242.75,57944
2025-08-01 13:05:00+05:30,1754033400,242.73,242.82,242.58,242.76,53212
2025-08-01 13:10:00+05:30,1754033700,242.8,243.11,242.68,243.07,96234
2025-08-01 13:15:00+05:30,1754034000,243.09,243.38,242.81,243.29,56949
2025-08-01 13:20:00+05:30,1754034300,243.27,243.49,243.22,243.35,50246
2025-08-01 13:25:00+05:30,1754034600,243.37,243.48,243.12,243.46,104821
2025-08-01 13:30:00+05:30,1754034900,243.46,243.8,243.33,243.6,121059
2025-08-01 13:35:00+05:30,1754035200,243.6,243.8,243.53,243.58,47780
2025-08-01 13:40:00+05:30,1754035500,243.6,243.66,242.99,243.12,103449
2025-08-01 13:45:00+05:30,1754035800,243.18,243.49,243.0,243.42,92377
2025-08-01 13:50:00+05:30,1754036100,243.49,243.68,243.43,243.6,69257
2025-08-01 13:55:00+05:30,1754036400,243.6,243.63,243.39,243.55,42879
2025-08-01 14:00:00+05:30,1754036700,243.55,243.65,243.09,243.25,62543
2025-08-01 14:05:00+05:30,1754037000,243.25,243.36,243.01,243.1,69929
2025-08-01 14:10:00+05:30,1754037300,243.1,243.25,242.87,243.05,111138
2025-08-01 14:15:00+05:30,1754037600,243.17,243.3,243.01,243.15,52766
2025-08-01 14:20:00+05:30,1754037900,243.14,243.14,242.75,242.78,55173
